000,0.510000,0.490000,0.510000,0.510000,0.510000
001,0.519992,0.480008,0.519992,0.519992,0.519992
002,0.529968,0.470032,0.529968,0.529968,0.529968
003,0.539920,0.460080,0.539920,0.539920,0.539920
004,0.549841,0.450159,0.549841,0.549841,0.549841
005,0.559722,0.440278,0.559722,0.559722,0.559722
006,0.569555,0.430445,0.569555,0.569555,0.569555
007,0.579335,0.420665,0.579335,0.579335,0.579335
008,0.589052,0.410948,0.589052,0.589052,0.589052
009,0.598700,0.401300,0.598700,0.598700,0.598700
010,0.608273,0.391727,0.608273,0.608273,0.608273
011,0.617763,0.382237,0.617763,0.617763,0.617763
012,0.627164,0.372836,0.627164,0.627164,0.627164
013,0.636470,0.363530,0.636470,0.636470,0.636470
014,0.645675,0.354325,0.645675,0.645675,0.645675
015,0.654773,0.345227,0.654773,0.654773,0.654773
016,0.663759,0.336241,0.663759,0.663759,0.663759
017,0.672628,0.327372,0.672628,0.672628,0.672628
018,0.681376,0.318624,0.681376,0.681376,0.681376
019,0.689997,0.310003,0.689997,0.689997,0.689997
020,0.698489,0.301511,0.698489,0.698489,0.698489
021,0.706847,0.293153,0.706847,0.706847,0.706847
022,0.715067,0.284933,0.715067,0.715067,0.715067
023,0.723147,0.276853,0.723147,0.723147,0.723147
024,0.731085,0.268915,0.731085,0.731085,0.731085
025,0.738877,0.261123,0.738877,0.738877,0.738877
026,0.746521,0.253479,0.746521,0.746521,0.746521
027,0.754016,0.245984,0.754016,0.754016,0.754016
028,0.761361,0.238639,0.761361,0.761361,0.761361
029,0.768553,0.231447,0.768553,0.768553,0.768553
030,0.775593,0.224407,0.775593,0.775593,0.775593
031,0.782479,0.217521,0.782479,0.782479,0.782479
032,0.789211,0.210789,0.789211,0.789211,0.789211
033,0.795789,0.204211,0.795789,0.795789,0.795789
034,0.802214,0.197786,0.802214,0.802214,0.802214
035,0.808484,0.191516,0.808484,0.808484,0.808484
036,0.814602,0.185398,0.814602,0.814602,0.814602
037,0.820568,0.179432,0.820568,0.820568,0.820568
038,0.826383,0.173617,0.826383,0.826383,0.826383
039,0.832048,0.167952,0.832048,0.832048,0.832048
040,0.837565,0.162435,0.837565,0.837565,0.837565
041,0.842934,0.157066,0.842934,0.842934,0.842934
042,0.848158,0.151842,0.848158,0.848158,0.848158
043,0.853239,0.146761,0.853239,0.853239,0.853239
044,0.858178,0.141822,0.858178,0.858178,0.858178
045,0.862978,0.137022,0.862978,0.862978,0.862978
046,0.867640,0.132360,0.867640,0.867640,0.867640
